en,zh-hant,zh-hans
cylindrical,筒狀物,
cylindrical configuration,磁柱組態,
cylindrical coordinate system,磁柱坐標系統,
cylindrical robot,柱面坐標型機器人,柱面坐標型機器人
原文,臺灣用語,大陸用語
I/O address space,輸入輸出位址空間,
I/O bound computation,輸入輸出限制計算,
I/O channel,輸入輸出通道,輸入輸出通道
I/O device assignment,輸入輸出裝置指定,輸入輸出設備指派
I/O device error recovery procedure,輸入輸出裝置錯誤復原程序,
I/O function code,輸入輸出功能碼,
I/O function modifier,輸入輸出功能更改符號,
I/O lockdown,輸入輸出鎖定,
I/O management,輸入輸出管理,輸入輸出管理
I/O mode,輸入輸出模式,
I/O operation,輸入輸出操作,
I/O pending,輸入輸出暫停,
I/O port,輸入輸出埠,
I/O processor,輸入輸出處理機,輸入輸出處理器
I/O queue,輸入輸出佇列,輸入輸出隊列
I/O redirection,輸入輸出重定向,
I/O request packet,輸入輸出要求封包,
I/O rundown,輸入輸出停止,
I/O space,輸入輸出空間,
I/O status block,輸入輸出狀態塊,
I/O unit,輸入輸出單元,
IAB,網際網路架構委員會,因特網﹝體系﹞結構委員會
IANA,網際網路編號管理局,因特網編號管理局
IAP,網際網路連線服務提供者,因特網接入提供者
IBC,網際網路商業中心,因特網商業中心
IBM AT,IBM AT型個人電腦,
IBM clone,IBM仿製品,
IBM LAN server,IBM區域網路伺服器,
IBM PC,IBM個人電腦,
IBM PC network,IBM個人電腦網路,
IBM personal computer,IBM個人電腦,
IBM personal computer AT,IBM AT型個人電腦,
IBM personal computer XT,IBM XT個人電腦,
IBM Personal System/2,IBM PS/2個人系統,
IBM PS/2,IBM PS/2個人系統,
IBM token-ring,IBM符記環,
IBM XT,IBM XT個人電腦,
IBM-compatible,IBM相容,
IBP,網際網路商務提供者,因特網商務提供者
IC card,積體電路卡；IC卡,智能卡
ICMP,網際網路控制訊息協定,因特網控制消息協議
iCOMP,CPU速度度量單位,
icon,圖像；圖符,圖標
icon activation item,圖像啟動項,
iconic model,圖像模型,
ICP,網際網路內容提供者,因特網內容提供者
ICRD,網際網路呼叫重定向或改發,網際呼叫重定向或改發
idea generation system,概念產生系統,思想生成系統
idea processor,概念處理機,
ideal benchmark characteristic,理想基準程序特性,
ideal blackbody,理想黑體,
ideal code,理想碼,
ideal coding,理想編碼,
ideal conceptual model,理想概念模型,
ideal coordinates,理想坐標,
ideal design of effective and logical system,有效邏輯系統的理想設計,
ideal filter,理想濾波器,
ideal format,理想格式,
ideal high pass filter,理想高通濾波器,
ideal low pass filter,理想低通濾波器,
ideal machine,理想機,
ideal noise diode,理想雜訊二極體,
ideal orientation,理想定向,
ideal performance,理想效能,
ideal receiver,理想接收機,
ideal solution,理想解,
ideal throughput,理想通量,
ideal transducer,理想轉換器,
ideal transformation,理想變換,
ideal value,理想值,
idealized computer,理想化計算機,
idealized form,理想化表格,
idealized pattern,理想化型樣,
idealized system,理想化系統,
idealized value,理想化值,
idempotent,冪等,
idempotent element,冪等元件,
idempotent law,冪等定律,
idempotent matrix,冪等矩陣,
identical argument list,恒等引數表,
identical component,恒等成分,
identical computation,恒等計算,
identical entry,恒等項,
identical function reference,恒等函數引用,
identical operation,恒等運算,
identical permutation group,恒等置換群,
identical processor,恒等處理機,
identical register,恒等暫存器,
identical sublist,恒等子串列,
identical subtree,恒等子樹,
identical table,恒等表,
identifiability,可識別性,
identifiable language,可識別語言,
identification,識別,標識
identification address mark,識別位址標示,
identification beacon,識別信標,
identification burst,識別爆叢,
identification call letter,識別呼叫字母,
identification card,識別卡,
identification card reader,識別卡閱讀機,
identification characters,識別字元,
identification code,識別碼,
identification condition,識別條件,
identification data,識別資料,
identification division,識別部門,
identification facility,識別設施,
identification field,識別欄,
identification item,識別項,
identification letter,識別字母,
identification mark,識別標示,
identification name,識別名,
identification number,識別號碼,
identification point,識別點,
identification problem,識別問題,
identification record,識別記錄,
identification register,識別暫存器,
identification rule,識別規則,
identification satellite,識別衛星,
identification section,識別區段,
identification sequence number,識別順序號碼,
identification sign,識別記號,
identification signal,識別信號,
identification world,識別世界,
identified DTE service,識別型DTE服務,識別型DTE業務
identifier,識別符；標識符號,標識符
identifier attribute,識別符屬性,
identifier block,識別符塊,
identifier circuit,識別符電路,
identifier declaration,識別符宣告,
identifier expected,期望識別符,
identifier length,識別符長度,
identifier list,識別符列表,
identifier name,識別符名,
identifier pointer,識別符指標,
identifier protection,識別符保護,
identifier table,識別符表,
identifier word,識別符字,
identify,識別,
identify absolute mode,識別絕對模式,
identify circuit,識別電路,
identify class sentence,識別類句子,
identify control section,識別控制區段,
identify dummy section,識別虛擬區段,
identify listed output,識別列表輸出,
identify relocatable mode,識別可再定位模式,
identify routine,識別常式,
identifying call,識別呼叫,
identifying code,識別碼,
identity,恆等,
identity authentication,身分鑑別,標識鑒別
identity declaration,恆等宣告,
identity definition,恆等定義,
identity element,恆等元件,
identity function,恆等函數,
identity gate,恆等閘,
identity group,恆等群,
identity mapping,恆等對映,
identity matrix,恆等矩陣,
identity message,恆等訊息,
identity operation,恆等運算,
identity permutation,恆等排列,
identity property,恆等性質,
identity relation,恒等關係,
identity relator,恒等關係符,
identity selector,恆等選擇器,
identity sign,恆等記號,
identity token,身分符記,標識權標
identity transform,恆等變換,
identity unit,恆等單元,
identity validation,身分確認,標識確認
ideogram,表意文字,表意字
ideogram entry,表意文字登入點,表意文字錄入
ideogram spacing,字間矩,
ideographic,表意文字,表意字
ideographic character,表意字元,表意字符
ideographic session,表意文字對話,
ideographic support,表意文字支援,
ideographic system,表意系統,
idiom recognition,識別成語,
IDL,介面定義語言,接口定義語言
idle,閒置,[空]閑
idle block,閒置塊,
idle call,閒置呼叫,
idle capacity,閒置容量,
idle channel,閒置通道,
idle channel state,閒置通道狀態,空閑信道狀態
idle character,閒置字元,
idle circuit,閒置電路,
idle circuit condition,閒置電路情況,
idle communication mode,閒置通信模式,
idle condition,閒置情況,
idle contact,空接點,
idle frequency,閒頻,
idle indication signal,閒置指示信號,
idle jack,閒置孔,
idle line termination,閒置線路終接設備,
idle link,閒置鏈路,
idle loop,閒置迴路,
idle process,閒置處理,
idle route,閒置路線,
idle route indicator,閒置路線指示器,
idle routine,閒置常式,
idle segment,閒置段,
idle signal,閒置信號,
idle slot detector,閒置槽檢測器,
idle state,閒置狀態,
idle time,閒置時間,
idle trunk,閒置中繼線,
idle two-way selector stage indicator,閒置雙向選擇器階段指示器,
idle wire,閒置線,
idleness,閒置,
idling,閒置,
idling adjustment,閒置調整,
idling condition,閒置情況,
idling signal,閒置信號,
IDPR,域際策略選路,域際策略路由選擇
IDS,入侵檢測系統,入侵檢測系統
IDSS,智慧型交互式整合決策支援系統,智能[型]交互式集成決策支持系統
IEC-488,IEC－488標準匯流排介面,
IEEE 488,IEEE 488標準,
IEEE 754 floating-point standard,IEEE 754浮點標準,IEEE 754浮點標准
IEEE 802.4 token bus access method,IEEE 802.4符記匯流排存取方法,
IEEE standard bus interface,IEEE 標準匯流排介面,
IEN,網際網路工程備忘錄,因特網工程備忘錄
IESG,網際網路工程指導組,因特網工程指導組
IETF,網際網路工程任務編組,因特網工程[任務]部
IF clause,若子句,
IF statement,若敘述,
if then rule,若─則規則,
IF-AND-ONLY-IF element,若且唯若元件,
IF-AND-ONLY-IF gate,若且唯若閘,
IF-A-THEN-B gate,若A則B閘,
IF-A-THEN-NOT gate,若A則反B閘,
IFP,整數因式分解難題,整數分解難題
IFS,可安裝檔案系統,可安裝文件系統
if-then,若則,
IF-THEN element,若則元件,
IF-THEN gate,若則閘,
IF-THEN logic,若則邏輯,
IGES,IGES圖形交換標準,
ignore,略,
ignore bit,忽略位元,
ignore block character,忽略塊字元,
ignore character,忽略符元；取消字元,
ignore character block,忽略字元塊,
ignore class,忽略類,
ignore code,忽略碼,
ignore data,忽略資料,
ignore gate,忽略閘；略閘,
ignore instruction,忽略指令,
ignore label check,忽略標號檢查,
ignore specification,忽略規格,
IGP,內部閘道協定,內部網關協議
IILC,積體注入邏輯電路,集成注入邏輯電路
IIOP,網際ORB間協定,網際ORB間協議
IIS,網際網路資訊伺服器,因特網信息服務器
Iliffe vector,伊利夫向量,
ill condition,病態情況,
ill conditioned equation,病態方程式,
ill conditioned matrix,病態矩陣,
ill conditioned polynomial,病態多項式,
ill formed input,病態形式輸入,
illegal address check,非法位址檢查,
illegal binary card,非法二進制卡,
illegal blank field,非法空白欄,
illegal character,非法字元,
illegal code,非法代碼,
illegal code motion,非法代碼移動,
